date,amount,category,type,description
2024-02-15,419.8,entertainment,expense,movie
2023-01-15,166.43,health,expense,gym
2024-03-07,72.62,entertainment,expense,movie
2024-05-23,164.64,food,expense,cafe
2023-01-01,120.42,other,expense,miscellaneous
2023-02-17,2380.93,gift,income,wedding gift
2023-10-29,278.8,shopping,expense,electronics
2024-04-06,1693.72,investment,income,crypto gain
2024-04-04,48.04,entertainment,expense,subscription
2023-12-26,389.72,health,expense,gym
2023-08-07,423.62,transport,expense,taxi
2023-07-13,192.28,bills,expense,electricity
2023-12-16,471.28,food,expense,groceries
2023-04-25,118.6,shopping,expense,online shopping
2023-07-01,469.52,transport,expense,taxi
2024-05-24,4311.88,gift,income,wedding gift
2023-03-31,3886.63,salary,income,bonus
2023-05-22,4994.77,salary,income,bonus
2023-03-21,3358.51,gift,income,birthday gift
2023-02-20,478.48,shopping,expense,online shopping
2023-04-13,3740.25,salary,income,bonus
2023-01-21,171.72,entertainment,expense,games
2023-09-20,3782.25,other,income,miscellaneous
2024-05-07,453.82,food,expense,snacks
2023-10-07,3664.88,gift,income,wedding gift
2024-02-15,389.33,food,expense,snacks
2024-05-08,151.42,health,expense,pharmacy
2024-02-29,4768.76,salary,income,monthly salary
2023-06-05,345.62,entertainment,expense,subscription
2024-05-26,149.87,shopping,expense,clothes
2023-04-19,294.05,bills,expense,internet
2023-01-01,4835.03,gift,income,birthday gift
2023-05-22,27.93,health,expense,gym
2023-07-13,2208.76,gift,income,birthday gift
2024-02-17,3311.51,salary,income,monthly salary
2024-02-13,384.47,bills,expense,internet
2023-02-15,263.41,shopping,expense,clothes
2024-02-24,324.43,transport,expense,train
2023-03-20,235.58,transport,expense,taxi
2023-02-27,395.75,transport,expense,fuel
2024-02-05,429.69,entertainment,expense,movie
2023-10-01,348.31,transport,expense,bus
2023-07-28,368.9,health,expense,doctor
2023-01-30,238.78,bills,expense,water
2023-06-03,2181.43,salary,income,bonus
2023-09-27,416.68,health,expense,doctor
2023-01-02,472.23,shopping,expense,clothes
2023-03-18,175.71,transport,expense,train
2024-04-25,3206.12,salary,income,monthly salary
2023-02-16,3489.18,investment,income,stock dividend
2023-08-18,231.49,shopping,expense,electronics
2023-10-17,47.95,entertainment,expense,concert
2023-04-15,146.49,bills,expense,water
2023-02-10,44.36,food,expense,cafe
2023-04-19,291.77,transport,expense,bus
2023-05-13,290.32,transport,expense,bus
2023-04-16,4228.77,other,income,miscellaneous
2023-08-19,1693.67,investment,income,stock dividend
2023-12-03,30.11,bills,expense,internet
2023-02-11,351.43,health,expense,gym
2023-11-17,3453.0,salary,income,monthly salary
2023-09-06,4538.29,gift,income,wedding gift
2024-04-20,302.74,other,expense,miscellaneous
2024-03-20,151.96,shopping,expense,clothes
2024-02-25,405.08,shopping,expense,online shopping
2024-02-16,217.3,other,expense,miscellaneous
2024-01-21,81.32,food,expense,groceries
2024-04-21,377.8,entertainment,expense,games
2024-03-08,4580.77,investment,income,crypto gain
2023-02-23,1462.18,investment,income,stock dividend
2023-02-07,380.05,shopping,expense,clothes
2023-04-04,4204.7,investment,income,stock dividend
2024-02-20,221.88,other,expense,miscellaneous
2023-09-27,149.78,entertainment,expense,games
2023-08-04,465.73,food,expense,groceries
2024-02-29,2976.36,salary,income,monthly salary
2024-04-06,2041.7,investment,income,crypto gain
2023-10-13,4120.76,other,income,miscellaneous
2024-05-18,4457.64,investment,income,stock dividend
2023-02-03,2727.29,salary,income,bonus
2023-10-12,377.49,food,expense,snacks
2023-05-11,306.43,shopping,expense,electronics
2023-04-01,245.43,transport,expense,train
2023-12-14,441.48,health,expense,doctor
2023-12-07,416.11,transport,expense,fuel
2023-11-20,272.4,shopping,expense,clothes
2024-01-09,4507.63,investment,income,crypto gain
2023-10-08,200.87,bills,expense,rent
2023-06-30,1450.55,salary,income,bonus
2024-03-23,376.17,other,expense,miscellaneous
2023-11-13,335.89,transport,expense,taxi
2023-06-29,254.79,health,expense,pharmacy
2023-11-24,208.5,food,expense,restaurant
2023-02-19,250.69,bills,expense,electricity
2024-04-30,354.03,health,expense,gym
2023-02-03,2454.66,salary,income,bonus
2024-05-29,4948.47,salary,income,monthly salary
2023-10-30,4163.42,investment,income,crypto gain
2023-04-28,197.26,transport,expense,fuel
2023-09-22,3483.17,gift,income,wedding gift
2023-09-24,311.05,entertainment,expense,movie
2023-02-06,348.19,transport,expense,fuel
2023-08-07,34.42,shopping,expense,clothes
2023-04-15,4336.71,gift,income,wedding gift
2023-06-04,93.89,entertainment,expense,concert
2023-10-08,476.67,bills,expense,electricity
2024-01-08,190.89,bills,expense,water
2023-07-01,434.42,health,expense,pharmacy
2023-06-11,404.69,other,expense,miscellaneous
2023-03-17,4638.56,investment,income,stock dividend
